network,station,channel,latitude,longitude,elevation
ML,ML17,BHZ,29.478317,104.483083,461
ML,ML17,BHN,29.478317,104.483083,461
ML,ML17,BHE,29.478317,104.483083,461
GS,GS010,BHZ,29.359583,104.425967,379
GS,GS010,BHN,29.359583,104.425967,379
GS,GS010,BHE,29.359583,104.425967,379
GS,GS020,BHZ,29.409383,104.462283,374
GS,GS020,BHN,29.409383,104.462283,374
GS,GS020,BHE,29.409383,104.462283,374
GS,GS030,BHZ,29.393356,104.533857,371
GS,GS030,BHN,29.393356,104.533857,371
GS,GS030,BHE,29.393356,104.533857,371
